,tweets,os,cleaned,english,len,sw_removed,stemmed
73,"$AMC $30 break EMINENT they can't stop the masses!!âœˆ
 
 $OXY $CHK $GILD $VAL $OAS $DGLY $NE $SPCB $MRO $XOG $PACD $APA $CHAP $DNR $XOM $CDEV $INPX $ENOB $GUSH $RCL $TELL $ENSV $AXAS $FET $NRGU $CPE $GCI $CCL $SRPT $BA $ROKU
 $BA $AMD $INTC $JNJ $MGM $SBUX $NFLX $MARA $AA https://t.co/lYmwyw0qhB",9.4,amc break eminent they can t stop the masses oxy chk gild val oas dgly ne spcb mro xog pacd apa chap dnr xom cdev inpx enob gush rcl tell ensv axas fet nrgu cpe gci ccl srpt ba roku ba amd intc jnj mgm sbux nflx mara aa https t co lymwyw qhb,break eminent they can t stop the oxy gild ne apa chap gush tell fet ba ba aa t,19,break eminent stop oxy gild ne apa chap gush tell fet ba ba aa,break emin stop oxi gild ne apa chap gush tell fet ba ba aa
74,"I'm watching The Facts of Life on the Roku channel. The episode is Seven Little Indians, my favorite one. Cloris was hilarious in this. #RIPClorisLeachman https://t.co/UwtitQiLZX",9.4,i m watching the facts of life on the roku channel the episode is seven little indians my favorite one cloris was hilarious in this ripclorisleachman https t co uwtitqilzx,i m watching the of life on the channel the episode is seven little my favorite one was hilarious in this t,22,watching life channel episode seven little favorite hilarious,watch life channel episod seven littl favorit hilari
76,"$AMC #Wallstreetbets opened new page already 117k members in MINUTES! $AMC $30 BREAK TOMORROW MORNING. WARRR!âœˆ
 
 $CGM $ROKU $JAKK $DYNT $SPV $LMND $GNUS $NOVN $GOOG $AYRO $SOLO $CEMI $APT $NBY $CHFS $MARK $SLULU $NIO $DLPN $WKHS $CARV $BA $BIGC $NFLX $M $CRM $TSLA $AMZN $BNGO https://t.co/F8Y6kmrl6j",9.4,amc wallstreetbets opened new page already k members in minutes amc break tomorrow morning warrr cgm roku jakk dynt spv lmnd gnus novn goog ayro solo cemi apt nby chfs mark slulu nio dlpn wkhs carv ba bigc nflx m crm tsla amzn bngo https t co f y kmrl j,new page already k in break tomorrow morning solo apt mark ba m t f y j,17,new page already break tomorrow morning solo apt mark ba,new page alreadi break tomorrow morn solo apt mark ba
78,"$AMC IS A MULTI-MONTH STOCK PERIOD $24+ EMINENT
 
 $xrp $btc $spy $tsla $msft $goog $ba $fb $amd $v $qcom $nflx $bac $nvda $roku $cost $rvdo $spx $baba $nwbo $ttph $mvis $dirv $blxx $llit $mara $visl $tghi $frsx $solo $myo $mark $gnus $rmbl $sunw $vvpr $zom $dss $hgsh $pton $snap https://t.co/YJxyYtfcrC",9.4,amc is a multi month stock period eminent xrp btc spy tsla msft goog ba fb amd v qcom nflx bac nvda roku cost rvdo spx baba nwbo ttph mvis dirv blxx llit mara visl tghi frsx solo myo mark gnus rmbl sunw vvpr zom dss hgsh pton snap https t co yjxyytfcrc,is a month stock period eminent spy ba v bac cost baba solo mark snap t,16,month stock period eminent spy ba bac cost baba solo mark snap,month stock period emin spi ba bac cost baba solo mark snap
81,"$AMC IS A MULTI-MONTH STOCK PERIOD $24+ EMINENT
 
 $xrp $btc $spy $tsla $msft $goog $ba $fb $amd $v $qcom $nflx $bac $nvda $roku $cost $rvdo $spx $baba $nwbo $ttph $mvis $dirv $blxx $llit $mara $visl $tghi $frsx $solo $myo $mark $gnus $rmbl $sunw $vvpr $zom $dss $hgsh $pton $snap https://t.co/DDYKkz5icw",9.4,amc is a multi month stock period eminent xrp btc spy tsla msft goog ba fb amd v qcom nflx bac nvda roku cost rvdo spx baba nwbo ttph mvis dirv blxx llit mara visl tghi frsx solo myo mark gnus rmbl sunw vvpr zom dss hgsh pton snap https t co ddykkz icw,is a month stock period eminent spy ba v bac cost baba solo mark snap t,16,month stock period eminent spy ba bac cost baba solo mark snap,month stock period emin spi ba bac cost baba solo mark snap
83,"Very exciting announcement!! My Unbreakable music video will be airing on @tcn_country positively country show!!
  To watch you can download the country music app in your App Store Or you can watch on Roku, Apple TV and on their website
 
 https://t.co/3TtW2a74k7 https://t.co/kQ5IzRu7k9",9.4,very exciting announcement my unbreakable music video will be airing on tcn country positively country show to watch you can download the country music app in your app store or you can watch on roku apple tv and on their website https t co ttw a k https t co kq izru k,very exciting announcement my unbreakable music video will be airing on country positively country show to watch you can the country music in your store or you can watch on apple and on their t a k t k,39,exciting announcement unbreakable music video airing country positively country show watch country music store watch apple,excit announc unbreak music video air countri posit countri show watch countri music store watch appl
84,"$AMC is VIRAL NOW. They thought $GME WAS DONE AT $40âœˆ
 
 $ROG $ROKU $ROLL $ROSE $RUSHA $RUTH $RYAM $RYI $SASR $SB $SBRA $SCS $SCVL $SELB $SFLY $SGYP $SHAK $SHBI $SIG $SKY $SLCA $SLDB $SMBK $SMHI $SMMF $SNHY $SNNA $SNR $SOI $SONA $SPN $SPPI $WLL $OAS $TELL $ENSV $CDEV $ET $TRNX https://t.co/HrvORPclRK",9.4,amc is viral now they thought gme was done at rog roku roll rose rusha ruth ryam ryi sasr sb sbra scs scvl selb sfly sgyp shak shbi sig sky slca sldb smbk smhi smmf snhy snna snr soi sona spn sppi wll oas tell ensv cdev et trnx https t co hrvorpclrk,is viral now they thought was done at rog roll rose ruth sig sky tell t,16,viral thought done rog roll rose ruth sig sky tell,viral thought done rog roll rose ruth sig sky tell
85,"$AMC $24 break EMINENT Could break $40 premarket. Viralâœˆ
 
 $OXY $CHK $GILD $VAL $OAS $DGLY $NE $SPCB $MRO $XOG $PACD $APA $CHAP $DNR $XOM $CDEV $INPX $ENOB $GUSH $RCL $TELL $ENSV $AXAS $FET $NRGU $CPE $GCI $CCL $SRPT $BA $ROKU
 $BA $AMD $INTC $JNJ $MGM $SBUX $NFLX $MARA $AA https://t.co/wWzEXIIJkZ",9.4,amc break eminent could break premarket viral oxy chk gild val oas dgly ne spcb mro xog pacd apa chap dnr xom cdev inpx enob gush rcl tell ensv axas fet nrgu cpe gci ccl srpt ba roku ba amd intc jnj mgm sbux nflx mara aa https t co wwzexiijkz,break eminent could break viral oxy gild ne apa chap gush tell fet ba ba aa t,17,break eminent could break viral oxy gild ne apa chap gush tell fet ba ba aa,break emin could break viral oxi gild ne apa chap gush tell fet ba ba aa
86,"$AMC I CAN'T KEEP UP WITH TGE TWEETS! EVERYONES LOADINGGG
 
 $OXY $CHK $GILD $VAL $OAS $DGLY $NE $SPCB $MRO $XOG $PACD $APA $CHAP $DNR $XOM $CDEV $INPX $ENOB $GUSH $RCL $TELL $ENSV $AXAS $FET $NRGU $CPE $GCI $CCL $SRPT $BA $ROKU
 $BA $AMD $INTC $JNJ $MGM $SBUX $NFLX $MARA $AA https://t.co/3AjoF65QZ4",9.4,amc i can t keep up with tge tweets everyones loadinggg oxy chk gild val oas dgly ne spcb mro xog pacd apa chap dnr xom cdev inpx enob gush rcl tell ensv axas fet nrgu cpe gci ccl srpt ba roku ba amd intc jnj mgm sbux nflx mara aa https t co ajof qz,i can t keep up with oxy gild ne apa chap gush tell fet ba ba aa t,18,keep oxy gild ne apa chap gush tell fet ba ba aa,keep oxi gild ne apa chap gush tell fet ba ba aa
87,"$AMC IS A MULTI-MONTH STOCK PERIOD $24+ EMINENT
 
 $xrp $btc $spy $tsla $msft $goog $ba $fb $amd $v $qcom $nflx $bac $nvda $roku $cost $rvdo $spx $baba $nwbo $ttph $mvis $dirv $blxx $llit $mara $visl $tghi $frsx $solo $myo $mark $gnus $rmbl $sunw $vvpr $zom $dss $hgsh $pton $snap https://t.co/h1RQJyd7HY",9.4,amc is a multi month stock period eminent xrp btc spy tsla msft goog ba fb amd v qcom nflx bac nvda roku cost rvdo spx baba nwbo ttph mvis dirv blxx llit mara visl tghi frsx solo myo mark gnus rmbl sunw vvpr zom dss hgsh pton snap https t co h rqjyd hy,is a month stock period eminent spy ba v bac cost baba solo mark snap t h,17,month stock period eminent spy ba bac cost baba solo mark snap,month stock period emin spi ba bac cost baba solo mark snap
93,"$AMC IS A MULTI-MONTH STOCK PERIOD $24+ EMINENT
 
 $xrp $btc $spy $tsla $msft $goog $ba $fb $amd $v $qcom $nflx $bac $nvda $roku $cost $rvdo $spx $baba $nwbo $ttph $mvis $dirv $blxx $llit $mara $visl $tghi $frsx $solo $myo $mark $gnus $rmbl $sunw $vvpr $zom $dss $hgsh $pton $snap https://t.co/2BaQMk3x2s",9.4,amc is a multi month stock period eminent xrp btc spy tsla msft goog ba fb amd v qcom nflx bac nvda roku cost rvdo spx baba nwbo ttph mvis dirv blxx llit mara visl tghi frsx solo myo mark gnus rmbl sunw vvpr zom dss hgsh pton snap https t co baqmk x s,is a month stock period eminent spy ba v bac cost baba solo mark snap t x s,18,month stock period eminent spy ba bac cost baba solo mark snap,month stock period emin spi ba bac cost baba solo mark snap
94,"@YouTubeTV on Roku the audio on the Prime Video app is great, 7.1 - but on the YouTube TV app itâ€™s not good, only from the front. Could you please let your developers know? YouTube TV app audio on Xbox also good.",9.4,youtubetv on roku the audio on the prime video app is great but on the youtube tv app it s not good only from the front could you please let your developers know youtube tv app audio on xbox also good,on the audio on the prime video is great but on the it s not good only from the front could you please let your know audio on also good,30,audio prime video great good front could please let know audio also good,audio prime video great good front could pleas let know audio also good
98,"$AMC IS A MULTI-MONTH STOCK PERIOD $24+ EMINENT
 
 $xrp $btc $spy $tsla $msft $goog $ba $fb $amd $v $qcom $nflx $bac $nvda $roku $cost $rvdo $spx $baba $nwbo $ttph $mvis $dirv $blxx $llit $mara $visl $tghi $frsx $solo $myo $mark $gnus $rmbl $sunw $vvpr $zom $dss $hgsh $pton $snap https://t.co/WwYxqbSOcM",9.4,amc is a multi month stock period eminent xrp btc spy tsla msft goog ba fb amd v qcom nflx bac nvda roku cost rvdo spx baba nwbo ttph mvis dirv blxx llit mara visl tghi frsx solo myo mark gnus rmbl sunw vvpr zom dss hgsh pton snap https t co wwyxqbsocm,is a month stock period eminent spy ba v bac cost baba solo mark snap t,16,month stock period eminent spy ba bac cost baba solo mark snap,month stock period emin spi ba bac cost baba solo mark snap
99,"Thank you for the suggestion @BeaCea3 , I have something similar on the way, that my sister recommended. Iâ€™m not sure if thatâ€™ll do the trick though. ( Matrix Box ) It isnâ€™t clear yet what Iâ€™ll have access to. Is Roku something you use ? https://t.co/Wgqmu64mnD",9.4,thank you for the suggestion beacea i have something similar on the way that my sister recommended i m not sure if that ll do the trick though matrix box it isn t clear yet what i ll have access to is roku something you use https t co wgqmu mnd,thank you for the suggestion i have something similar on the way that my sister i m not sure if that do the trick though matrix box it t clear yet what i have access to is something you use t,41,thank suggestion something similar way sister sure trick though matrix box clear yet access something,thank suggest someth similar way sister sure trick though matrix box clear yet access someth
102,"@ebcinpa I cut my cable last May. 
 
 I watch free TV channel Apps like Pluto and watch free movie apps through a Roku Home Screen 
 
 I use my RCA HD Antenna for free over the air channels 
 
 I only pay $55 a month for internets",9.4,ebcinpa i cut my cable last may i watch free tv channel apps like pluto and watch free movie apps through a roku home screen i use my rca hd antenna for free over the air channels i only pay a month for internets,i cut my cable last may i watch free channel like and watch free movie through a home screen i use my antenna for free over the air i only pay a month for,34,cut cable last may watch free channel like watch free movie home screen antenna free air pay month,cut cabl last may watch free channel like watch free movi home screen antenna free air pay month
103,@MSGNetworks are there any plans to create an app for either Apple TV or Roku streaming to enjoy the games on the big screen?,9.4,msgnetworks are there any plans to create an app for either apple tv or roku streaming to enjoy the games on the big screen,are there any to create an for either apple or streaming to enjoy the on the big screen,18,create either apple streaming enjoy big screen,creat either appl stream enjoy big screen
104,"$AMC $24 break EMINENT Could break $40 afterhours.Viralâœˆ
 
 $OXY $CHK $GILD $VAL $OAS $DGLY $NE $SPCB $MRO $XOG $PACD $APA $CHAP $DNR $XOM $CDEV $INPX $ENOB $GUSH $RCL $TELL $ENSV $AXAS $FET $NRGU $CPE $GCI $CCL $SRPT $BA $ROKU
 $BA $AMD $INTC $JNJ $MGM $SBUX $NFLX $MARA $AA https://t.co/Fp84qhGfss",9.4,amc break eminent could break afterhours viral oxy chk gild val oas dgly ne spcb mro xog pacd apa chap dnr xom cdev inpx enob gush rcl tell ensv axas fet nrgu cpe gci ccl srpt ba roku ba amd intc jnj mgm sbux nflx mara aa https t co fp qhgfss,break eminent could break afterhours viral oxy gild ne apa chap gush tell fet ba ba aa t,18,break eminent could break afterhours viral oxy gild ne apa chap gush tell fet ba ba aa,break emin could break afterhour viral oxi gild ne apa chap gush tell fet ba ba aa
105,"Bought a whole bunch of stocks today 
 
 Added to or started new positions in $SQ $ROKU $TDOC $NVTA $CRSP $SPOT $Z $AMD $LSPD $PSTG
 
 Took some profits on $CCIV $IPOE $ACTC $PSAC
 
 Sold out of $TSIA $NIO 
 
 I hope the $NIO cult forgives me",9.4,bought a whole bunch of stocks today added to or started new positions in sq roku tdoc nvta crsp spot z amd lspd pstg took some profits on cciv ipoe actc psac sold out of tsia nio i hope the nio cult forgives me,bought a whole bunch of stocks today added to or new in spot z took some on sold out of tsia i hope the cult me,26,bought whole bunch stocks today added new spot took sold tsia hope cult,bought whole bunch stock today ad new spot took sold tsia hope cult
106,"Join us for our 16th Annual City-County #MLK Employee Observance on 2/3 at noon!
 -https://t.co/xR8kmr6wz7
 -https://t.co/R1tih2FmOn
 -https://t.co/nvglh6PNZx
 -Spectrum &amp; Google Fiber ch 8, Frontier ch 70, AT&amp;T U-verse ch 99
 -Roku, Apple TV, Amazon Fire TV
 -https://t.co/fCvfBf9xpb https://t.co/yayAhbIpeD",9.4,join us for our th annual city county mlk employee observance on at noon https t co xr kmr wz https t co r tih fmon https t co nvglh pnzx spectrum amp google fiber ch frontier ch at amp t u verse ch roku apple tv amazon fire tv https t co fcvfbf xpb https t co yayahbiped,join us for our th annual city county employee observance on at noon t t r t spectrum fiber frontier at t u verse apple fire t t,28,join us th annual city county employee observance noon spectrum fiber frontier verse apple fire,join us th annual citi counti employe observ noon spectrum fiber frontier vers appl fire
108,"@StephMillerShow @bobcesca_go @RepJohnYarmuth @MalcolmNance @carlosalazraqui @SXMProgress @freespeechtv @Roku @IndianaTalks @tunein I think yâ€™all are doing great considering #TrumpVirus 
 
 @RadioGuyChris looks great juggling all those balls on the fly!
 
 @bobcesca_go you sound great &amp; look like SuperMan! (The voice!)
 
 HunkaHunka Wednesday!
 
 All we need is Marcus in Illinois to call in; right @KIResists ?",9.4,stephmillershow bobcesca go repjohnyarmuth malcolmnance carlosalazraqui sxmprogress freespeechtv roku indianatalks tunein i think y all are doing great considering trumpvirus radioguychris looks great juggling all those balls on the fly bobcesca go you sound great amp look like superman the voice hunkahunka wednesday all we need is marcus in illinois to call in right kiresists,go i think y all are doing great considering great juggling all those on the fly go you sound great look like superman the voice all we need is in to call in right,34,go think great considering great juggling fly go sound great look like superman voice need call right,go think great consid great juggl fli go sound great look like superman voic need call right
109,"Do you Remember? For more Cartoons, Donâ€™t for get to check out Our https://t.co/KRKhaeFnJy Retro Cartoon TV Channel. Available on PNN + Mobile, Roku (Proud TV KLPS-19), Chromecast and https://t.co/R1MxPDZc63. Enjoy! â›„ï¸â„ï¸ https://t.co/1119ql2lJX",9.4,do you remember for more cartoons don t for get to check out our https t co krkhaefnjy retro cartoon tv channel available on pnn mobile roku proud tv klps chromecast and https t co r mxpdzc enjoy https t co ql ljx,do you remember for more don t for get to check out our t cartoon channel available on mobile and t r enjoy t,24,remember get check cartoon channel available mobile enjoy,rememb get check cartoon channel avail mobil enjoy
